title,bedrooms,bathrooms,car_spaces,land_size,building_size,multiple_floor,issecurity,isgarden,isbalcony,iscourtyard,lokasi, harga 
Rumah Ready Furnished Siap Huni Dekat Pamulang Harga All In Bisa KPR,2,1,1,81,45,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Minimalis Siap KPR di Vila Dago Pamulang Harga All In Bisa Nego,3,2,1,94,70,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp925,000,000.00 "
Rumah Siap Huni di Pamulang Park Residence Harga All In Bisa KPR Ready Furniture,2,1,1,90,60,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp960,000,000.00 "
Rumah Nego Bebas Banjir Dekat Pamulang Tangsel Siap Huni Harga All In Bisa KPR,2,1,1,84,39,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp930,000,000.00 "
Rumah Idaman Bebas Banjir Dekat Serpong Harga All In Siap KPR,2,1,1,81,45,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Harga All In Bisa Nego di Pamulang Park Residence Bebas Banjir Siap KPR,2,1,1,121,60,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp999,000,000.00 "
Rumah Mewah Minimalis di Ciater 5 juta All In,3,2,1,100,77,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp800,000,000.00 "
the Oakwood Bintaro cluster terbaru dekat stasiun & pintu tol,3,2,1,70,70,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp800,000,000.00 "
.rumah Rumah baru transaksi cash dan KPR.,3,2,1,60,70,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Vinus 88 Residence Tipe Aurora,2,1,2,78,48,1,1,1,0,0,"Pamulang Timur, Tangerang Selatan"," Rp892,869,076.00 "
Special Promo Awal Tahun di Magani Residence 3,3,2,1,60,60,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp779,000,000.00 "
Rumah cicil 100X tanpa bunga di pondok cabe,3,2,1,105,90,1,1,1,1,0,"Pondok Cabe, Tangerang Selatan"," Rp1,000,000,000.00 "
Yang minat serius pajak ditanggung penjual. Rumah Ciater Tangsel,3,2,2,156,100,1,0,0,0,0,"Serpong, Tangerang Selatan"," Rp975,000,000.00 "
Dijual Rumah Nyaman Nuansa Bali Asri 26 Unit Di Serpong,2,1,1,69,46,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp715,000,000.00 "
Rumah Baru Ready Stok BSD Serpong 5min Bintaro Pondok Aren Alam Sutera,3,3,2,103,6,2,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp980,000,000.00 "
Rumah Milenial Tanpa DP Dekat Tol Pamulang dan dekat Pusat Belanja,3,2,1,50,60,1,1,1,1,0,"Pamulang, Tangerang Selatan"," Rp590,000,000.00 "
Rumah murah serpong utara Villa Mutiara Serpong,3,2,1,60,120,1,0,0,0,0,"Serpong Utara, Tangerang Selatan"," Rp765,000,000.00 "
Rumah Minimalis 2 Lantai Harga Murah di Pondok Cabe,3,1,1,67,53,1,0,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp700,000,000.00 "
"RUMAH BARU 2LT SIAP HUNI DI PAMULANG, CARPORT 2 MOBIL, AKSES 2 MOBIL",2,2,2,84,65,2,0,0,1,0,"Pamulang, Tangerang Selatan"," Rp825,000,000.00 "
"Rumah 2 Lantai Termurah Setangsel, promo Cash Keras 750juta Bisa KPR",3,2,1,78,65,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp750,000,000.00 "
Cluster 2 Lantai Minimalis Dekat Dengan Stasiun Kereta Bintaro Sektor 9,3,2,1,60,75,2,1,1,1,0,"Bintaro, Tangerang Selatan"," Rp995,000,000.00 "
Rumah Dijual 2 Lantai Bebas Banjir Daerah Bintaro,3,2,1,60,75,1,1,1,0,1,"Bintaro, Tangerang Selatan"," Rp995,000,000.00 "
Rumah dijual di Ciputat,2,1,1,90,49,1,0,1,0,0,"Ciputat, Tangerang Selatan"," Rp700,000,000.00 "
rumah 25jt di Pamulang Tanggerang selatan Unit ready,3,1,1,70,45,1,1,1,1,1,"Pamulang, Tangerang Selatan"," Rp825,000,000.00 "
Dijual Rumah 2 Lanta Siap Huni Wilayah Pamulang Tangerang Selatan,3,2,1,78,120,2,1,1,1,1,"Pamulang, Tangerang Selatan"," Rp875,000,000.00 "
RUMAH BSD 2 MENIT KE STASIUN RAWABUNTU RUMAH 2 LANTAI,3,2,2,60,55,2,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp950,000,000.00 "
cukup dengan 10 JT saja sudah memiliki rumah sendiri,1,1,1,60,27,1,0,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp500,000,000.00 "
Rumah siap huni minimalis serpong,2,1,1,60,50,1,0,0,0,0,"Serpong, Tangerang Selatan"," Rp770,000,000.00 "
Rumah Mewah murah Di Tangsel pamulang unit Ready,3,2,1,70,45,1,1,1,1,1,"Bintaro, Tangerang Selatan"," Rp825,000,000.00 "
BRAND NEW - Rumah Baru 2 Lantai Super Mewah TERMURAH LT100 Style EROPA,3,2,1,100,60,2,1,1,1,1,"Serpong, Tangerang Selatan"," Rp999,000,000.00 "
SUPER MURAH Hunian Mewah Bergengsi Selangkah Ke Kantor Walikota dan Tol,3,2,1,100,60,2,1,1,1,1,"Serpong, Tangerang Selatan"," Rp999,000,000.00 "
WAJIB BOOKING .! Promo Cash LT100 Rumah Mewah Terbaru gaya EROPA ( TERMURAH ),3,2,1,100,60,2,1,1,1,1,"Serpong, Tangerang Selatan"," Rp999,000,000.00 "
RUMAH HUNIAN MODERN DI BINTARO CICILAN RINGAN,3,3,1,56.5,65,1,1,1,1,1,"Bintaro, Tangerang Selatan"," Rp950,000,000.00 "
"Bismillah, Dijual Rumah 2Lt Di Bumi Serpong Residence , Harga Nepis",3,2,1,96,168,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp950,000,000.00 "
Rumah ready stock Golden Hills Cortona tanpa DP dan Bi Checking,2,1,1,72,36,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp730,000,000.00 "
Di jual rumah siap huni di Vila Dago Pamulang,3,2,1,99,95,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp980,000,000.00 "
Dijual Rumah Taman Kedaung,2,1,1,78,52,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp765,000,000.00 "
"DIJUAL RUMAH PARADISE SERPONG CITY 2 MEPET BSD, HANYA 10 JUTA ALL IN",3,2,1,84,85,2,1,1,1,1,Tangerang Selatan," Rp1,000,000,000.00 "
RUMAH DIJUAL TERMURAH SETANGSEL,2,1,1,50,30,1,0,0,0,0,Tangerang Selatan," Rp560,000,000.00 "
DIJUAL RUMAH SYARIAH 2 LANTAI SIAP HUNI DI SETU TANGERANG SELATAN,3,2,1,80,55,1,0,0,0,0,"Setu, Tangerang Selatan"," Rp975,000,000.00 "
Rumah 1 Lantai dekat Kawasan Pamulang,2,1,1,60,36,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp695,000,000.00 "
Naira Residence Tipe Jade,2,1,1,66,47,1,1,1,1,1,Tangerang Selatan," Rp999,000,000.00 "
Rumah 25jt di pamulang Tangsel Unit Ready dekat tol,3,2,1,70,45,1,1,1,1,1,"Pamulang, Tangerang Selatan"," Rp825,000,000.00 "
Rumah dijual 1 lt pamulang siap huni modern minimalis akses mudah,2,1,1,94,56,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp925,000,000.00 "
RUMAH CASA RESIDENCE BINTARO BOOKING FEE 5 JUTAAN,3,3,1,58,65,1,1,1,1,1,"Pondok Cabe, Tangerang Selatan"," Rp964,000,000.00 "
Tria Adara Residence 12 Pamulang,2,1,1,70,36,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
Rumah 2 Lantai Murah Minimalis di Cinangka Pondok Cabe,3,2,2,70,70,1,0,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp800,000,000.00 "
353.Rumah 2 Lt konsep Private CLuster Promo DP 0% free biaya all in,3,2,1,66,72,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp890,000,000.00 "
Dijual rumah Regency Melati Mas Serpong,2,1,1,72,60,1,0,0,0,0,"Serpong, Tangerang Selatan"," Rp850,000,000.00 "
Townhouse Serpong Dekat Mall Paradise Walk Serpong,3,2,1,60,50,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp602,500,000.00 "
sangat sangat murah hunian 2 lantai di bintaro bsd,3,2,1,60,55,1,0,0,0,0,"Jombang, Tangerang Selatan"," Rp550,000,000.00 "
"jual cepat, barang murah dalam komplek elite",4,2,1,166,120,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp995,000,000.00 "
Rumah minimalis Kencana Loka 12.5 BSD,2,1,1,84,50,1,0,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp975,000,000.00 "
Rumah KPR bintaro perdana,2,2,1,57,65,1,1,0,1,0,"Bintaro, Tangerang Selatan"," Rp952,400,000.00 "
Dijual Rumah di Setu Tangerang Selatan,3,2,1,76,55,1,0,0,0,0,"Setu, Tangerang Selatan"," Rp950,000,000.00 "
HUNIAN MODERN PAMULANG DESIGN KONSEP URBAN LIVING,4,4,1,98,100,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp995,000,000.00 "
Rumah siap huni di Serpong Natura City dalam komplek dekat Mal Serpong,2,1,1,84,39,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp980,000,000.00 "
Rumah 4 kamar 5 menit ke stasiun Cisauk Free Biaya All in,4,2,2,65,60,2,0,0,1,1,"Serpong, Tangerang Selatan"," Rp850,000,000.00 "
"RUMAH MINIMALIS SIAP HUNI CIPUTAT, TANGERANG SELATAN",3,2,1,60,120,1,1,1,0,0,"Ciputat, Tangerang Selatan"," Rp800,000,000.00 "
Rumah murah siap huni Pesona Serpong View residence bisa KPR DP ringan,2,2,1,90,36,1,1,1,0,1,"Setu, Tangerang Selatan"," Rp675,000,000.00 "
Rumah 2 Lantai Strategis Bebas Banjir di Tangerang Selatan,2,2,1,86,59,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp800,000,000.00 "
Op112.Cluster termurah 1 lantai dkt kampus Uin Ciputat tangsel,2,1,1,60,38,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp540,000,000.00 "
Jual Di Serpong Lagoon Dekat Akses Toll BSD,2,1,1,72,39,1,1,0,0,0,"Serpong, Tangerang Selatan"," Rp650,000,000.00 "
Jual Rumah siap Huni di Pamulang,3,2,2,98,85,1,1,1,0,1,"Setu, Tangerang Selatan"," Rp750,000,000.00 "
"PROMO RUMAH 2 LANTAI, Rumah Mewah 2 Lantai Cirebon",3,2,1,115,82,1,1,0,0,1,Tangerang Selatan," Rp905,000,000.00 "
Rumah cluster 2 Lt di Pamulang Tangerang Selatan,3,3,1,70,70,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp850,000,000.00 "
Cluster Pondok Cabe Rumah 2 Lantai Murah Strategis,3,1,1,60,52,1,1,1,0,1,"Pondok Cabe, Tangerang Selatan"," Rp735,000,000.00 "
Rumah Milenial Serpong Dekat Mall Paradise Walk Serpong,3,2,2,60,50,1,1,1,1,1,"Bintaro, Tangerang Selatan"," Rp600,000,000.00 "
Dijual rumah siap huni di suka Mulya Ciputat,3,3,1,85,120,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp1,000,000,000.00 "
