title,bedrooms,bathrooms,car_spaces,land_size,building_size,multiple_floor,issecurity,isgarden,isbalcony,iscourtyard,lokasi, harga 
"Rumah 2 Lt Hot Promo Launching 23 April 2022, Lippo Village Karawaci",2,2,1,60,55,1,0,1,0,0,"Serpong, Tangerang Selatan"," Rp691,000,000.00 "
"Rumah strategis,nyaman dan asri",3,2,1,62,60,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp797,000,000.00 "
Rumah Baru Dp 0% FREIA Graha Raya Bintaro,2,1,1,60,29,1,0,0,0,0,"Serpong Utara, Tangerang Selatan"," Rp898,000,000.00 "
Op53.New Cluster 2 Lt Modern Minimalis Hrg Menarik dipusat tangsel,3,2,1,69,84,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp758,300,000.00 "
dijual rumah di depok siap huni,2,1,1,125,45,1,1,1,0,0,"Cirendeu, Tangerang Selatan"," Rp800,000,000.00 "
Rumah Baru Siap Huni 2 Lantai Area Perum Bukit Nusa Indah Strategis,3,2,1,80,80,1,0,0,0,0,"Jombang, Tangerang Selatan"," Rp875,000,000.00 "
Rumah posisi Hook si Cluster Golden Green Residence Tangsel,3,2,1,70,70,1,0,1,0,1,"Pamulang, Tangerang Selatan"," Rp875,000,000.00 "
Op15.New Cluster Modern Tropis Mewah 1 Lantai hrg mulai 700juta-an,2,1,1,90,40,1,0,0,0,0,"Pamulang Timur, Tangerang Selatan"," Rp700,000,000.00 "
Rumah Nyaman Dan Aman di Pamulang,2,1,1,72,50,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp600,000,000.00 "
Op32.Cluster Baru Modern Siap Huni 1Lt Promo Free Biaya Dkt Vila Dago,2,1,1,65,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp685,000,000.00 "
Op.Rumah cantik 2Lt Modern Minimalis strategis Hrg termurah dikelasnya,3,2,1,60,75,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp995,000,000.00 "
HD.Rumah Mewah 2 Lantai Siap Huni dlm Perum Vila pamulang hrg Ekonomis,3,2,2,128,147,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp1,000,000,000.00 "
467.Rumah 2 Lantai minimalis Promo Perdana Free biaya sangat strategis,3,2,1,65,70,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp820,000,000.00 "
"RZ111 Dijual Rumah di Pamulang, Tangerang Selatan",5,3,1,150,100,1,0,0,0,0,Tangerang Selatan," Rp900,000,000.00 "
Dijual Rumah Murah Mewah Harga Merakyat di Serpong,2,1,1,60,36,1,0,0,0,0,"Serpong Utara, Tangerang Selatan"," Rp520,000,000.00 "
Rumah minimalis 2 lantai di serpong tangsel,3,3,2,63,83,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
Dijual Rumah Dekat UNPAM BARU KPR DP 0 %,2,1,1,72,45,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp575,000,000.00 "
DI JUAL CEPAT RUMAH SIAP HUNI PERMATA PAMULANG,2,1,1,90,50,1,1,0,0,0,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
Rumah villa serpong bogor jakarta Cicilan 3 juta gratis IPhone 14 pro,2,1,1,72,36,1,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp599,000,000.00 "
Lokasi Strategis Pinus village di pusat kota Tangsel,2,1,1,75,40,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp676,000,000.00 "
Rumah Ready Stock di Serpong,2,1,1,60,30,1,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp700,000,000.00 "
Rumah Minimalis Dalam Town House Daerah Griya Bintaro Dijual Cepat !!!,2,2,1,47,60,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp800,000,000.00 "
RUMAH DIJUAL DI BSD TANGERANG SELATAN LUAS DAN AKSES MUDAH,3,2,2,60,65,1,1,1,0,1,"Setu, Tangerang Selatan"," Rp700,000,000.00 "
Perumahan DP 0% daerah Pengasinan,2,1,1,72,45,1,1,0,0,0,"Ciputat, Tangerang Selatan"," Rp525,000,000.00 "
Id195.Rumah Second Dgn Hrg Murah di Vila Pamulang Lokasi Strategis,3,1,1,78,70,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp595,000,000.00 "
Dijual rumah baru 2 lantai free biaya surat²,3,3,2,61,80,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
Rumah siap huni murah dan terjangkau di pamulang tangerang,2,1,1,60,33,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp530,000,000.00 "
Dijual rumah baru minimalis 2 lantai di serpong The Villas townhouse,2,2,2,60,60,2,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Rumah 2 Lantai Ekslusif Termurah KPR Syariah Tangerang Selatan,2,2,1,48,55,1,1,0,0,1,"Ciputat, Tangerang Selatan"," Rp576,000,000.00 "
IdHD.Rumah Second Jual cepat di Perum Pamulang Lestari Tangsel,2,1,1,72,50,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp575,000,000.00 "
Dijual Rumah di Pamulang,3,2,2,98,98,1,1,1,0,1,"Setu, Tangerang Selatan"," Rp750,000,000.00 "
Cluster Cendana Home Gardn Karawaci,3,3,1,82,68,1,1,0,0,0,Tangerang Selatan," Rp780,000,000.00 "
Id185.Rumah Second luas 78m 3 Lantai 15menit tol Pamulang Tangsel,4,4,1,78,150,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp720,000,000.00 "
Jual Rumah di Pamulang,3,2,2,98,98,1,1,1,0,1,"Setu, Tangerang Selatan"," Rp750,000,000.00 "
Ready stock free AC rumah bebas dari banjir,2,1,1,70,40,1,0,1,0,0,"Serpong Utara, Tangerang Selatan"," Rp605,300,000.00 "
Rumah komersial tanpa dp,2,1,1,72,36,1,1,1,1,1,"Serpong Utara, Tangerang Selatan"," Rp700,000,000.00 "
Rumah baru 2 lantai siap huni di serpong tangsel,3,2,2,61,69,2,1,1,1,1,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
Rumah Rasa Villa Dekat Jakarta BSD Serpong Bogor Cicilan 3 jutaan,3,2,2,84,48,1,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp699,000,000.00 "
Rumah BDS Golden Park 3,4,3,1,84,76,1,1,1,1,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Rumah 2 lantai Modern 800 juta an dekat Jalan Tol serpong,3,2,1,78,65,1,0,0,0,0,Tangerang Selatan," Rp875,000,000.00 "
cluster mewah di kota cirebon,2,1,1,90,48,1,1,1,0,1,"Alam Sutera, Tangerang Selatan"," Rp600,000,000.00 "
Rumah Milenial DP 0 cicilan ringan,2,1,1,50,31,1,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp585,000,000.00 "
RUMAH MURAH SIAP HUNI DISEKITAR PAMULANG CUKUP DP 25JT ALL IN CICILAN MULAI 2.9,2,1,2,72,49,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp545,000,000.00 "
jual harga BU rumah dalam komplek di Ciputat dekat stasiun sudimara,3,1,1,105,100,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp875,000,000.00 "
RUMAH dekat BSD Bukit Dago Cluster Ambassador 2,3,2,1,87,66,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp625,000,000.00 "
Rumah 1.5 lantai di griya loka murah hadap selatan,3,2,1,87,80,1,0,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Murah di BSD Serpong,2,2,1,78,55,1,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp855,000,000.00 "
Rumah siap huni dan terjangkau di tangerang selatan,2,1,1,60,33,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp530,000,000.00 "
RUMAH MODERN SCANDINAVIAN DI BUARAN SERPONG TANGERANG SELATAN,2,1,1,60,38,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp698,000,000.00 "
Rumah 1M siap huni 2 lantai free biaya surat surat di Serpong,3,2,1,63,80,1,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp1,000,000,000.00 "
Rumah 2 lantai modern minimalis di serpong,3,2,2,61,80,2,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp1,000,000,000.00 "
Di jual Rumah Milinelium 2 lantai dekat dengan MRT Lebak Bulus,2,2,1,48,55,1,1,1,0,0,"Pondok Cabe, Tangerang Selatan"," Rp877,000,000.00 "
Rumah Murah Serpong 2 Lantai 5km dari gerbang tol BSD,3,2,1,60,55,2,1,1,1,0,"Serpong, Tangerang Selatan"," Rp545,000,000.00 "
Rumah siap huni DP0%,2,1,1,84,49,1,1,1,0,0,Tangerang Selatan," Rp900,000,000.00 "
RUMAH MURAH DEKAT KAWASAN BINTARO,2,1,1,70,60,1,1,1,0,1,"Jombang, Tangerang Selatan"," Rp750,000,000.00 "
Beli Rumah gratis Logam Mulia 5 gram. Promo lainnya di deskrifsi .,2,1,1,60,30,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp796,000,000.00 "
Rumah kpr pamulang,2,1,1,72,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp625,100,000.00 "
rumah murah pusat kota pamulang,2,1,1,68,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp612,750,000.00 "
RUMAH 2 LANTAI SIAP HUNI DI SERPONG JAYA (DEKAT BSD),3,3,2,72,55,2,1,1,0,1,"Serpong, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Ready Dekat Pintu Tol Pamulang Tangerang Selatan,3,3,1,72,54,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp987,000,000.00 "
Citra Garden Serpong by Ciputra Group,2,1,1,60,28,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp680,000,000.00 "
Dijual Rumah baru dan Murah 2 lantai di serpong tangerang selatan,2,2,1,53,60,1,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Id204.Rumah Second Hrg Murah Luas 100m lokasi Perum Permata pamulang,2,1,1,100,65,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp680,000,000.00 "
S472.Rumah Minimalis siap Huni Harga Ekonomis Strategis diSetu Tangsel,3,2,1,63,60,1,0,0,0,0,"Setu, Tangerang Selatan"," Rp695,000,000.00 "
Rumah terbaru dan termurah di Serpong tangsel,2,2,1,59,60,1,1,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Rumah 2 Lantai Design Bali Di Pamulang,3,2,1,62,60,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp793,000,000.00 "
Rumah 700 jt di Gading Serpong Ready Stok,2,2,3,32,40,1,1,1,0,1,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
Rumah 2 Lantai di Serpong DP15Juta Lngsng Akad Kredit Cicilan KPR 5jt,2,2,1,60,63,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp865,000,000.00 "
"Rumah BSD Minimalis Cluster Myza, Sudah Full Furnished, Dekat Mal",2,2,1,30,41,1,1,1,1,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
RUMAH TANGSEL TANPA DP 500jutaan,2,1,1,72,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp500,000,000.00 "
DIJUAL RUMAH BARU CLUSTER AYAMA BRIAR SERPONG BSD TANGERANG,2,2,2,60,54,2,1,1,0,1,"Serpong, Tangerang Selatan"," Rp700,000,000.00 "
Rumah Baru di Citra Garden Serpong Harga mulai 660 Jutaan,2,1,1,50,28,1,0,1,0,1,"Serpong, Tangerang Selatan"," Rp660,000,000.00 "
Jual rumah cantik di tangsel,2,2,1,83,65,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp795,000,000.00 "
Rumah di Serpong Exclusive dan Kekinian diskon,3,2,7,80,72,1,1,0,1,0,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
Pamulang terrace hunian di pusat kota tangsel pamulang,2,1,1,86,38,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp748,022,000.00 "
PARADESA PAMULANG,3,2,1,66,76,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp900,000,000.00 "
Rumah dijual BU cepat lokasi strategis masuk mobil,3,2,1,279,279,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp1,000,000,000.00 "
jual BU nego sampai deal,4,2,1,164,150,1,0,0,0,0,"Pamulang Timur, Tangerang Selatan"," Rp960,000,000.00 "
Dijual cepat rumah Vila Pamulang,2,2,1,72,140,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp850,000,000.00 "
Dijual cepat rumah di griya bintaro,2,2,1,60,47,1,0,0,1,1,"Bintaro, Tangerang Selatan"," Rp800,000,000.00 "
CLUSTER PAMULANG MEWAH 700 JUTA- AN MODERN SCANDINAVIAN SMART HOME .,3,2,1,80,70,2,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp750,000,000.00 "
Rumah di tangerang selatan selangkah dari tol BSD dan Stasiun,3,2,1,70,72,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp750,000,000.00 "
dijual ruamh siap huni,2,1,1,125,45,1,1,1,0,0,"Pondok Cabe, Tangerang Selatan"," Rp800,000,000.00 "
"Rumah Dijual di Pamulang, dekat unpam",3,2,1,60,62,1,1,0,1,1,"Pamulang, Tangerang Selatan"," Rp793,000,000.00 "
Rumah 2 lantai dekat Bintaro dan Ciledug,2,2,1,51,58,1,0,0,0,0,"Jombang, Tangerang Selatan"," Rp950,000,000.00 "
"SINTA SERPONG, Hunian baru konsep modern termurah Arah Pondok Benda Baru",3,2,2,65,52,1,1,1,1,1,"Pondok Benda Baru, Tangerang Selatan"," Rp600,000,000.00 "
Smart Home Minimalis Design 2 Lantai Lokasi strategis,2,3,1,45,48,1,1,1,1,1,"Bintaro, Tangerang Selatan"," Rp898,000,000.00 "
"Rumah siap huni tidak banjir Tangerang Selatan, tol, busway, stasiun",2,1,1,45,66,1,1,0,0,1,"Serpong, Tangerang Selatan"," Rp830,000,000.00 "
rumah murah 2 lantai diserpong,3,2,1,50,48,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp500,000,000.00 "
Rumah siap huni KPR dekat Vila Dago pamulang,2,1,1,111,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp775,000,000.00 "
Dijual Rumah T-45/75Dapur tertutup akses 15 St. Rawabuntu,2,1,1,75,45,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp545,000,000.00 "
Id206.Rumah Siap Huni Sangat Murah di Perum Griya Jakarta Pamulang,4,2,2,167,120,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp995,000,000.00 "
Rumah Minimalis di Tangerang Dekat BSD Hanya 5 Km ke AEON Mall BSD,2,1,1,70,40,1,0,1,0,0,"Serpong Utara, Tangerang Selatan"," Rp605,000,000.00 "
Dijual Cluster Rumah Baru Full Bata Merah Dekat BSD TangSel,3,2,1,70,68,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp788,300,000.00 "
Serpong Parkville Cluster Toscana,2,2,1,60,67,1,0,1,0,0,"Ciputat, Tangerang Selatan"," Rp880,000,000.00 "
Serpong parkville,3,2,1,60,72,1,0,0,0,0,"Ciputat, Tangerang Selatan"," Rp1,000,000,000.00 "
Rumah Minimalis Serpong Dekat Bintaro/Pamulang/Ciputat,3,2,1,60,50,1,1,1,1,1,"Pamulang, Tangerang Selatan"," Rp700,000,000.00 "
rumah murah 2 lantai deket stasiun,2,2,1,60,53,1,0,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp900,000,000.00 "
Dijual rumah Hunian dengan harga terjangkau di Bintaro,3,2,1,52,70,1,0,1,0,0,"Bintaro, Tangerang Selatan"," Rp800,000,000.00 "
Dijual rumah 1 lantai di regensi melati mas serpong,2,1,1,84,65,1,1,0,0,0,"Serpong, Tangerang Selatan"," Rp875,000,000.00 "
Dijual Rumah 2 lantai full Perabotan,3,2,1,60,120,1,0,0,1,0,"Ciputat, Tangerang Selatan"," Rp810,000,000.00 "
"Dijual Rumah lokasi bagus di Permata Bintaro, Bintaro Sektor 9",2,1,1,72,45,1,0,0,0,0,"Bintaro, Tangerang Selatan"," Rp975,000,000.00 "
Rumah 2 lantai graha raya,3,2,5,50,60,1,0,1,1,0,"Serpong Utara, Tangerang Selatan"," Rp650,000,000.00 "
Rumah Terjangkau Daerah BSD,2,1,1,72,50,1,0,0,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp750,000,000.00 "
Dijual Rumah 2 lantai lokasi strategis,2,2,1,40,55,1,1,1,0,0,"Cirendeu, Tangerang Selatan"," Rp998,000,000.00 "
Jual cepat Rukam 3 lt,2,2,1,70,150,1,0,0,0,0,"Jombang, Tangerang Selatan"," Rp700,000,000.00 "
Rumah baru di Serpong murah,2,2,2,93,55,2,1,1,0,0,"Serpong, Tangerang Selatan"," Rp730,000,000.00 "
Springhil Yume Lagoon Perumahan Baru Konsep Jepang Bernuansa Danau Di BSD,3,3,1,103,112,1,0,1,0,1,"Serpong Utara, Tangerang Selatan"," Rp600,000,000.00 "
Rumah 1 Lantai di Pamulang MURAH dan STRATEGIS!,2,1,1,65,50,1,0,0,0,0,"Pondok Benda Baru, Tangerang Selatan"," Rp585,000,000.00 "
Dijual Rumah Syariah di Pamulang Tangerang Selatan,3,2,1,78,65,1,0,0,0,0,"Pamulang Barat, Tangerang Selatan"," Rp850,000,000.00 "
"Sisa 1 rumah Siap Huni di Selatan Jakarta, DP 0% Cukup 10 Jt free ajb bphtb bbn",3,2,1,60,65,2,1,1,0,1,"Pondok Cabe Udik, Tangerang Selatan"," Rp900,000,000.00 "
Rumah Rasa Villa dekat Toll Pamulang dan Pondok Cabe 4jutaan/bulan,2,1,1,60,50,1,1,1,1,1,"Pondok Cabe, Tangerang Selatan"," Rp800,000,000.00 "
Rumah Baru SHM Dp 5% Di Tangerang Graha Bintaro,2,1,1,60,40,1,1,0,0,0,"Serpong Utara, Tangerang Selatan"," Rp790,000,000.00 "
Din.Rumah second 1 Lantai terawat Strategis di Vila Dago Pamulang,2,1,1,78,54,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp570,000,000.00 "
HUNIAN INDENT 2 LANTAI BSD TANGERANG SELATAN,3,2,2,60,65,2,1,1,1,1,"Serpong Utara, Tangerang Selatan"," Rp750,000,000.00 "
Dijual rumah di Ciater tengah Serpong,3,2,1,108,100,1,1,0,0,1,Tangerang Selatan," Rp650,000,000.00 "
"Golden Flower Serpong, 5 JUTA DAPAT RUMAH + LANGSUNG AKAD",2,1,1,72,36,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp733,000,000.00 "
dijual rumah pamulang elok tangerang selatan,2,1,1,72,50,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp600,000,000.00 "
"rumah dijual cepat, dalam komplek full fasilitas",4,2,1,167,120,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp990,000,000.00 "
rumah manis harga minimalis di taman bukit hijau pamulang,2,1,1,71,50,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp530,000,000.00 "
Cluster Ready Stock dekat Stasiun Rawabuntu BSD,3,2,1,60,70,1,1,1,1,0,"Setu, Tangerang Selatan"," Rp815,000,000.00 "
Rumah 2 Lantai Siap Huni di Tangerang Selatan,3,2,1,60,80,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp575,000,000.00 "
Dijual rumah 3 lantai di Pamulang Tangsel,4,4,1,98,294,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp975,000,000.00 "
Rumah Cluster elegan Harga Murah Siap Huni di Pamulang,2,1,1,70,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp655,000,000.00 "
Jual Cepat Rumah 1 Lantai Kayu Gede 2,2,2,1,70,50,1,1,1,0,1,"Serpong Utara, Tangerang Selatan"," Rp649,999,999.00 "
siap huni inspirahaus tabebuya bsd city tangerang selatan,2,2,1,40,48,1,1,1,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp950,000,000.00 "
Rumah Dijual di Pamulang dekat UNPAM,2,2,1,47,50,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp720,000,000.00 "
Rumah Strategis Sederhana,3,1,1,78,70,1,1,1,0,1,"Ciputat, Tangerang Selatan"," Rp800,000,000.00 "
Rumah minimalis 7jutaan/bulan 3KM dari Intermoda BSD,3,2,1,75,80,1,0,1,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp983,000,000.00 "
Rumah minimalis harga manis,3,2,2,60,45,1,1,1,1,1,"Bintaro, Tangerang Selatan"," Rp700,000,000.00 "
RUMAH SERPONG PARK BSD CLUSTER NYAMAAAN,2,1,1,90,90,1,1,1,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp850,000,000.00 "
Rumah murah siap huni 2 lantai di tangsel,3,2,2,74,63,1,0,1,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp1,000,000,000.00 "
Gria Jakarta 2 Pamulang Rumah T36/90 Luas Di Pamulang,2,1,1,90,36,1,1,1,0,1,"Pamulang Barat, Tangerang Selatan"," Rp760,000,000.00 "
"Rumah Murah Perlu Renovasi di Kencana Loka BSD, Jual Cepat Lokasi Strategis",2,1,1,84,50,1,1,0,0,1,"Bumi Serpong Damai, Tangerang Selatan"," Rp975,000,000.00 "
Rumah Baru 2 Lantai Harga Murah di BSD,2,2,1,45,45,1,0,1,1,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp595,000,000.00 "
Rumah siap huni full renov di pamulang,3,1,1,60,72,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp595,000,000.00 "
RUMAH 2 LANTAI HARGA MURAH DI PONDOK BENDA PAMULANG TANGERANG SELATAN,3,2,1,65,70,2,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp720,000,000.00 "
DIJUAL RUMAH BINTARO SELANGKAH KE MRT DAN BINTARO EXCHANGE,3,2,1,60,65,1,1,1,1,1,"Ciputat, Tangerang Selatan"," Rp900,000,000.00 "
Rumah 2 lantai lokasi strategis di Pamulang Tangsel,3,2,1,109,72,2,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp945,000,000.00 "
Rumah baru di BSD,3,2,1,60,55,2,1,1,0,0,"Bumi Serpong Damai, Tangerang Selatan"," Rp835,000,000.00 "
Rumah modern minimalis dua lantai di serpong tangsel Serpong,3,3,1,63,83,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp1,000,000,000.00 "
Rumah murah 600 Jtan,2,1,1,68,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp612,750,000.00 "
Rumah murah siap huni minimalis di pamulang,2,1,1,102,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp748,000,000.00 "
Rumah KPR baru di area puspem tangerang Selatan,2,1,1,117,45,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp790,000,000.00 "
Rumah siap huni sekitaran RSU Pamulang,2,1,1,71,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp655,000,000.00 "
Rumah baru siap huni dekat bsd,2,1,1,73,43,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp661,000,000.00 "
Rumah ready stock bisa kpr di pamulang tangerang selatan,2,1,1,102,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp748,000,000.00 "
"Rumah pusat kota pamulang, all in",2,1,1,71,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp655,000,000.00 "
Rumah one gate Sistem di daerah pamulang tangerang selatan,2,1,1,103,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp750,000,000.00 "
Jual rumah 1 lantai 600 juta an all in,2,1,1,72,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp658,000,000.00 "
Rumah 2 lantai Tanpa DP di Serpong,2,2,1,60,53,1,1,1,1,1,"Serpong, Tangerang Selatan"," Rp957,800,000.00 "
Rumah Keren Konsep Sisi Sungai Terkeren.,2,1,1,60,36,1,1,1,0,0,"Serpong, Tangerang Selatan"," Rp798,000,000.00 "
Op79.Rumah Mewah 2 Lantai dgn berbagai fasilitas dlm cluster Pamulang,3,2,2,66,76,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp995,000,000.00 "
Rumah minimalis Nusa Loka BSD,2,1,1,50,75,1,0,1,0,0,"Serpong, Tangerang Selatan"," Rp950,000,000.00 "
"Id213.Rumah minimalis di hook sangat Strategis di pondok cabe, Tangsel",3,2,1,82,72,1,0,0,0,0,"Pondok Cabe, Tangerang Selatan"," Rp890,000,000.00 "
Rumah Siap Huni 2 Lantai Pamulang Resident,3,2,1,72,100,1,1,0,0,0,"Pamulang, Tangerang Selatan"," Rp895,000,000.00 "
Dijual Rumah KPR Strategis didekat RS Buah Hati Pamulang tangsel,2,1,1,72,40,1,1,1,0,0,"Pamulang, Tangerang Selatan"," Rp658,000,000.00 "
Dijual Rumah siap huni didekat pamulang squer,2,1,1,103,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp751,000,000.00 "
Rumah KPR siap huni dekat bsd,2,1,1,118,40,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp792,000,000.00 "
Rumah KPR dekat sari asih ciputat,2,1,1,117,43,1,0,1,0,0,"Pamulang, Tangerang Selatan"," Rp799,000,000.00 "
rumah murah tangsel pamulang pondok benda,2,1,1,103,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp750,000,000.00 "
Dijual Rumah Murah KPR didekat kecamatan pamulang tangsel,2,1,1,73,43,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp661,000,000.00 "
Rumah Siap Huni dekat RS Permata Pamulang Tangsel,2,1,1,111,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp775,000,000.00 "
Rumah baru bebas banjir di pamulang tangsel,2,1,1,71,40,1,0,0,0,0,"Pamulang, Tangerang Selatan"," Rp655,000,000.00 "
Rumah siap huni area puspem pamulang tangsel,2,1,1,72,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp658,000,000.00 "
Rumah Baru Dekat Villa Dago Pamulang,2,1,1,73,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp661,000,000.00 "
Rumah siap huni di jalan abiasa,2,1,1,102,40,1,1,1,0,1,"Pamulang, Tangerang Selatan"," Rp748,000,000.00 "
Rumah Baru Readystock Murah LokasiTop dekat Toll dekatStasiun,2,2,1,120,50,1,0,1,0,0,"Setu, Tangerang Selatan"," Rp650,000,000.00 "
Rumah 2lantai dekat dengan 3stasiun,3,2,1,50,48,1,1,1,1,0,"Serpong, Tangerang Selatan"," Rp603,000,000.00 "
Dijual Rumah Siap Huni Pamulang Park Residence,2,1,1,121,60,1,1,0,0,0,"Pamulang Barat, Tangerang Selatan"," Rp999,000,000.00 "
Rumah Ready Stock Tanah luas 93m Harga Murah Bisa KPR flat,2,1,1,93,60,1,0,1,0,0,"Serpong Utara, Tangerang Selatan"," Rp841,500,000.00 "
perumahan murah di tangerang kota,2,1,1,70,40,1,0,1,0,0,"Serpong, Tangerang Selatan"," Rp593,350,000.00 "
Dapatkan segera rumah siap huni proses KPR dibantu smp selesai,2,1,1,74,40,1,0,1,0,0,"Serpong Utara, Tangerang Selatan"," Rp609,000,000.00 "
RUMAH MURAH TAPI MEWAH DI SELATAN SERPONG,2,1,1,60,31,1,0,0,0,0,"Serpong, Tangerang Selatan"," Rp600,000,000.00 "
